Par,163405,137455,7716788,137,97,1871,16868,169935,254341,204611,3130177,2229561,4729,74442,90615,1089,16329,43398,18515,41560,1248357,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Alenquer,616,182,10920,-,-,-,49,196,196,-,-,-,390,7800,5582,15,150,488,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,95.0
Almeirim,45,35,1532,25,25,621,16,144,173,-,-,-,-,-,-,21,220,550,35,70,1960,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,250.0
Belterra,-,-,-,-,-,-,3,9,16,-,-,-,10,70,205,-,-,-,50,75,2213,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,
Curuá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,
Faro,-,-,-,-,-,-,2,14,7,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,14.0
Juruti,-,-,-,-,-,-,-,-,-,-,-,-,4,36,36,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,14.0
Mojuí dos Campos,8,6,348,-,-,-,15,39,70,-,-,-,10,50,133,20,188,526,50,100,2715,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,282.0
Monte Alegre,420,307,16025,-,-,-,50,410,820,-,-,-,3250,52813,53532,5,32,128,35,30,969,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,18.0
Óbidos,10,4,168,-,-,-,10,80,42,-,-,-,10,120,256,5,20,38,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,40.0
Oriximiná,-,-,-,-,-,-,3,21,21,-,-,-,10,120,360,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,80.0
Prainha,15,3,143,15,3,67,35,280,420,-,-,-,155,2790,6529,12,192,547,5,10,285,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,209.0
Santarém,383,115,6555,-,-,-,20,169,386,-,-,-,31,352,677,30,225,722,170,340,9860,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,315.0
Terra Santa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,9.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,16122,
RI Baixo Amazonas,1497,652,35691,40,28,688,203,1362,2151,0,0,0,3870,64151,67310,108,1027,2999,345,625,18002,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,4171.0
Alenquer,616,182,10920,-,-,-,49,196,196,-,-,-,390,7800,5582,15,150,488,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,532.0
Almeirim,45,35,1532,25,25,621,16,144,173,-,-,-,-,-,-,21,220,550,35,70,1960,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,375.0
Belterra,-,-,-,-,-,-,3,9,16,-,-,-,10,70,205,-,-,-,50,75,2213,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,
Curuá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,
Faro,-,-,-,-,-,-,2,14,7,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,43.0
Juruti,-,-,-,-,-,-,-,-,-,-,-,-,4,36,36,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,29.0
Mojuí dos Campos,8,6,348,-,-,-,15,39,70,-,-,-,10,50,133,20,188,526,50,100,2715,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,1128.0
Monte Alegre,420,307,16025,-,-,-,50,410,820,-,-,-,3250,52813,53532,5,32,128,35,30,969,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,190.0
Óbidos,10,4,168,-,-,-,10,80,42,-,-,-,10,120,256,5,20,38,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,100.0
Oriximiná,-,-,-,-,-,-,3,21,21,-,-,-,10,120,360,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,297.0
Prainha,15,3,143,15,3,67,35,280,420,-,-,-,155,2790,6529,12,192,547,5,10,285,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,481.0
Santarém,383,115,6555,-,-,-,20,169,386,-,-,-,31,352,677,30,225,722,170,340,9860,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,977.0
Terra Santa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,19.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,63855,
